distance_traveled,trip duration,num_of_passengers,time of day
748,2.75,1,75
1187,3.43,1,105
730,3.12,1,71.25
671,5.63,3,90
329,2.09,1,45
355,1.74,1,45
453,2.22,1,52.5
1288,5.21,1,116.25
134,1.48,1,33.75
980,3.48,1,90
84305,4.94,2,116.25
328,2.16,1,48.75
1848,4.83,1,142.5
305,2.04,1,45
234,1.61,0,37.5
1537,7.64,1,146.25
4059,30,1,390
530,2.43,1,56.25
319,1.67,1,41.25
773,3.41,2,75
375,1.45,1,45
586,2.57,1,63.75
357,1.43,1,112.5
1617,3.23,6,123.75
1163,5.62,1,108.75
1059,5.39,1,112.5
1271,4.84,1,116.25
915,4.46,1,93.75
742,4.89,3,90
1467,5.21,1,127.5
929,4.31,1,93.75
1149,9.35,1,153.75
1146,3.88,1,97.5
1023,2.41,2,90
255,2.48,1,45
668,3.11,2,75
11323,0.14,1,337.5
3722,19.17,1,322.5
962,12.7,1,180
407,5.13,1,78.75
512,2.4,1,56.25
139,0.64,1,26.25
1911,6.76,1,161.25
622,2.03,1,60
3438,27.54,1,408.75
395,2.27,1,52.5
703,6.45,1,101.25
978,4.51,1,97.5
730,3.35,1,75
1113,3.51,1,93.75
522,2.56,1,63.75
608,2.8,1,63.75
728,3.09,1,78.75
207,1.85,1,41.25
453,2.12,1,52.5
718,5.42,1,93.75
626,2.57,2,67.5
784,2.25,1,71.25
273,1.95,1,45
569,2.43,1,63.75
2175,13.07,1,232.5
1202,6.12,1,120
214,1.43,1,37.5
751,3.98,1,78.75
295,1.63,1,41.25
460,1.58,1,48.75
567,2.85,1,63.75
427,1.63,1,48.75
2147,16.87,1,251.25
845,2.54,1,75
887,10.99,1,153.75
447,1.77,1,48.75
420,1.75,1,48.75
142,0.66,1,26.25
537,1.54,1,56.25
972,3.17,1,78.75
2406,4.38,1,176.25
684,3.83,1,78.75
1090,6.65,1,120
1215,13.68,2,195
1045,17.27,2,225
2467,11.35,5,221.25
319,1.32,1,41.25
2249,28.49,1,390
692,3.19,1,78.75
10,0.31,1,75
1592,13.84,1,213.75
1092,9.66,6,142.5
234,1.22,1,33.75
506,2.86,2,60
1303,3.2,1,108.75
1244,14.82,2,202.5
1592,5.66,1,131.25
1641,19.07,1,262.5
1242,6.94,1,123.75
1029,3.2,1,90
958,2.9,5,90
664,2.9,1,67.5
1461,4.57,1,123.75
1518,5.47,1,135
502,2.09,1,56.25
1042,4.99,1,105
1211,3.28,1,101.25
292,0.77,1,37.5
827,2.98,1,82.5
592,1.37,1,56.25
536,2.16,1,56.25
173,0.58,1,26.25
903,3.59,1,82.5
420,1.79,1,52.5
292,1.38,1,41.25
462,1.93,2,52.5
663,2.35,1,63.75
467,0.69,1,48.75
1684,12.15,1,191.25
194,1.29,1,33.75
610,2.7,1,63.75
467,2.04,1,56.25
760,3.73,1,78.75
437,6.13,1,93.75
1039,2.83,1,90
668,3.04,1,67.5
594,2.06,2,60
762,6.16,5,105
468,1.9,1,52.5
2600,6.73,1,180
660,2.48,1,67.5
621,3.7,1,67.5
1245,4.75,1,108.75
921,1.77,1,78.75
548,2.48,1,60
2709,10.9,1,225
2186,27.91,1,390
955,4.18,1,97.5
3164,16.88,1,318.75
450,2,1,52.5
324,1.4,1,45
468,1.21,6,48.75
2431,3.14,1,176.25
819,5.05,1,135
571,3.04,1,67.5
281,1.24,1,37.5
944,1.64,1,78.75
917,6.28,1,105
556,1.77,1,60
337,1.32,3,41.25
392,1.58,1,45
548,2.01,1,56.25
1681,15.77,1,225
1941,5.18,1,146.25
459,3.22,1,60
1855,8.55,1,168.75
4416,20.87,1,393.75
335,1.56,1,41.25
748,2.49,1,71.25
849,2.57,5,78.75
465,1.29,1,48.75
3392,11.46,2,285
536,1.48,1,52.5
938,2.88,1,86.25
598,2.8,1,67.5
558,2.49,1,60
994,2.93,1,86.25
1085,6.42,1,116.25
1275,3.89,1,105
477,2.51,1,60
268,0.97,1,37.5
735,3.43,1,75
543,2.66,1,63.75
3768,18.67,2,330
952,4.68,1,90
630,2.54,1,63.75
1321,7.26,1,135
837,2.53,1,78.75
261,1.27,5,37.5
200,1.37,1,33.75
879,3.8,1,86.25
1152,5.54,3,112.5
660,2.82,1,63.75
251,1.21,1,37.5
2194,16.74,3,251.25
319,1.71,1,45
796,3.54,1,78.75
370,2.67,1,56.25
518,3.62,1,67.5
434,2.7,1,56.25
840,3.94,1,86.25
560,1.46,1,56.25
516,4.44,2,78.75
3135,9.59,1,240
1296,5.58,1,123.75
638,3.59,1,71.25
243,1.51,1,41.25
646,3.15,1,75
150,0.56,1,26.25
624,3.06,6,67.5
654,2.25,1,60
603,2.41,1,63.75
3645,15.51,2,322.5
701,2.08,1,67.5
366,1.24,1,41.25
166,0.8,1,30
959,6.84,1,116.25
718,5.75,5,93.75
648,2.95,6,71.25
2351,8.77,1,198.75
978,2.85,1,86.25
1156,2.9,1,101.25
375,2.04,1,48.75
365,1.29,2,45
1161,5.7,1,112.5
1602,9.37,1,161.25
7263,27.57,1,551.25
1048,4.39,1,97.5
1094,3.81,3,97.5
1271,6.36,1,123.75
311,2.22,5,45
299,0.79,1,37.5
461,2.09,1,52.5
523,1.71,1,56.25
768,2.45,1,71.25
1557,3.17,5,127.5
864,6.6,1,105
960,7.56,1,123.75
1558,10.91,1,187.5
1061,3.7,1,93.75
492,7.72,1,108.75
264,1.72,5,41.25
440,2.06,1,52.5
1178,5.39,1,112.5
1559,9.17,1,157.5
1620,10.69,1,172.5
812,3.07,3,78.75
426,2.59,1,52.5
508,1.01,1,45
723,2.33,1,67.5
544,2.03,1,56.25
484,1.83,1,52.5
499,1.9,1,56.25
258,0.85,1,37.5
763,2.49,2,71.25
977,3.86,1,93.75
691,1.74,1,60
902,3.33,1,86.25
5,0.02,1,18.75
85092,1.9,1,63.75
859,4.06,1,86.25
467,1.51,1,52.5
1191,5.95,2,116.25
166,1.01,1,33.75
11,0.02,1,18.75
562,2.25,1,60
1980,16.58,1,258.75
364,1.58,1,45
252,0.98,5,33.75
926,4.41,1,86.25
236,1.03,1,33.75
293,1.48,1,41.25
723,6.98,1,105
1072,6.29,1,112.5
747,5.65,2,101.25
458,2.12,1,48.75
1090,7.4,1,127.5
663,6.04,1,283.125
45,0.16,1,18.75
1057,6.6,1,120
568,9.35,5,131.25
1676,12.89,1,195
924,4.28,1,93.75
316,1.26,3,41.25
678,3.33,1,71.25
1996,10.14,1,187.5
578,3.86,1,71.25
495,1.9,1,52.5
548,6.36,2,97.5
1175,10.77,1,165
2170,11.75,6,191.25
768,3.85,1,127.5
1114,3.88,1,97.5
1180,3.54,2,97.5
547,2.48,1,60
1595,7.4,1,150
373,1.29,1,45
1607,6.47,1,146.25
839,4.59,1,90
2138,16.74,1,255
216,0.55,2,33.75
333,1.29,2,41.25
398,1.27,1,45
405,4.78,1,75
316,1.72,1,45
775,3.65,1,78.75
711,4.44,2,300
755,8.88,1,127.5
1691,11.67,1,191.25
466,1.64,2,48.75
825,3.6,1,82.5
5,1.4,1,115.5
1065,5.75,1,105
279,1.5,2,37.5
415,2.11,1,48.75
2245,16.87,2,262.5
2527,27.36,1,371.25
964,5.29,1,105
337,1.93,1,48.75
958,4.09,1,78.75
699,1.77,1,67.5
1316,7.89,1,142.5
579,2.37,1,60
768,3.59,1,78.75
1114,2.69,1,93.75
1670,6.12,2,138.75
2087,8.87,5,180
1293,5.18,1,116.25
508,4.06,1,71.25
154,0.55,1,26.25
1802,8.67,1,153.75
899,4.83,1,93.75
650,2.66,1,67.5
1880,10.75,2,375
2516,6.42,1,191.25
157,0.77,1,30
896,5.89,1,108.75
1286,6.44,1,123.75
1123,9.14,1,150
862,3.41,1,86.25
395,1.87,2,48.75
661,3.2,1,75
392,2.25,1,52.5
259,1.13,1,37.5
609,2.49,1,60
651,2.33,2,105
798,1.85,1,71.25
4468,37.98,1,566.25
624,3.25,2,71.25
255,1.71,1,41.25
709,3.96,1,78.75
459,0.87,2,48.75
894,6.24,1,108.75
1822,13.97,1,210
1287,6.6,1,127.5
775,3.22,1,75
1155,6.89,1,127.5
287,1.61,1,41.25
327,1.96,1,45
748,3.89,2,78.75
890,1.45,2,75
266,1.3,1,37.5
830,2.82,1,78.75
1200,4.97,1,112.5
1070,7.89,1,135
84973,6.15,2,112.5
1528,10.67,1,172.5
1738,7.56,1,150
1691,9.12,1,165
1005,4.55,1,97.5
529,2.7,1,60
472,1.27,1,48.75
701,3.38,1,75
679,3.27,1,71.25
1027,2.75,6,90
616,2.82,1,67.5
1360,6.66,2,135
756,3.01,1,75
416,2.57,1,56.25
565,2.72,2,67.5
495,2.24,1,56.25
782,2.03,1,71.25
696,10.86,1,146.25
644,2.8,1,63.75
524,3.38,1,67.5
1160,11.43,1,172.5
1119,3.73,1,97.5
353,1.48,1,45
820,2.82,1,75
296,1.42,1,37.5
404,1.37,1,48.75
593,2.77,1,63.75
620,2.41,1,67.5
1383,3.36,1,108.75
584,1.93,0,60
748,4.55,1,86.25
306,1.29,1,37.5
619,2.7,1,67.5
453,1.83,1,52.5
318,1.37,3,41.25
721,2,1,63.75
1136,3.99,6,101.25
603,2.51,1,63.75
420,2.35,1,56.25
315,1.29,1,41.25
182,1.08,1,33.75
677,1.88,1,60
730,2.3,1,60
762,2.57,1,71.25
762,2.35,2,67.5
392,1.59,1,45
524,1.67,1,56.25
4344,2.91,1,60
601,1.92,1,60
2980,14.03,1,262.5
430,1.3,1,48.75
692,2.41,1,67.5
1041,4.02,1,97.5
439,1.46,1,48.75
800,2.74,1,75
232,1.45,1,37.5
2700,30.22,2,510
387,2.19,1,48.75
1213,4.65,1,112.5
200,1.93,1,41.25
1288,5.79,1,120
243,1.66,1,41.25
274,2.04,1,45
934,4.22,1,90
427,2.67,1,56.25
1065,4.18,1,101.25
406,2.48,1,52.5
1337,11.52,1,180
1895,5.86,1,153.75
341,1.66,1,45
563,2.86,1,67.5
549,1.85,1,56.25
516,6.24,1,97.5
528,1.96,1,56.25
419,1.92,1,48.75
1548,4.02,0,123.75
334,2.29,1,48.75
552,2.45,1,56.25
739,7.03,1,108.75
1893,7.03,2,157.5
563,2.74,1,67.5
989,2.59,1,86.25
538,3.01,1,63.75
295,1.06,1,37.5
532,2.01,1,56.25
1882,13.57,2,221.25
1017,4.25,1,97.5
583,4.38,1,78.75
327,1.61,2,45
1852,16.09,1,236.25
595,2.2,1,60
1146,6.58,1,120
2200,13.58,1,225
451,2.16,1,52.5
761,2.66,1,71.25
1087,8.27,1,131.25
150,1.03,1,30
1787,17.51,1,236.25
716,2.74,1,71.25
884,3.36,3,78.75
4863,4.73,2,326.25
314,2.19,1,48.75
917,3.27,1,86.25
869,3.86,1,90
749,4.44,1,82.5
524,1.92,1,56.25
490,1.87,1,56.25
1121,6.73,1,116.25
471,2.9,0,60
1658,11.07,1,187.5
671,4.04,1,75
777,3.32,1,78.75
755,3.43,1,78.75
718,2.78,1,75
838,7.23,1,108.75
1489,4.02,1,120
440,2.41,1,56.25
390,1.98,1,48.75
536,2.72,1,63.75
265,0.98,2,37.5
254,1.05,1,37.5
468,2.12,1,52.5
379,1.48,1,45
641,4.54,1,86.25
441,7,2,187.5
85740,0.79,1,52.5
461,2.91,1,63.75
272,1,1,37.5
1656,11.39,1,168.75
290,0.9,1,37.5
1563,18.36,1,255
1277,12.81,1,187.5
385,2.14,1,48.75
208,1.61,1,37.5
2661,12.96,1,251.25
508,2.54,1,60
791,4.99,1,90
1457,11.59,4,180
3175,12.96,1,273.75
592,3.46,1,67.5
263,1.96,1,41.25
56,0.95,1,112.5
699,11.57,1,153.75
1853,26.34,1,480
149,1.06,1,30
333,1.32,1,41.25
1825,18.78,1,262.5
369,1.56,1,45
565,1.93,1,56.25
359,2.32,5,48.75
1755,6.55,1,142.5
202,0.89,1,33.75
553,6.26,1,93.75
2058,30.42,1,390
922,3.22,1,82.5
384,1.37,1,48.75
1171,6.13,1,116.25
1413,8.79,1,153.75
455,2.22,1,56.25
246,1.08,1,33.75
320,1.61,1,41.25
1308,4.65,1,116.25
1756,7.71,5,165
823,3.14,1,78.75
502,3.22,1,63.75
1557,12.42,1,191.25
1269,5.44,1,120
1102,4.83,1,101.25
1691,6.28,2,153.75
546,1.67,1,56.25
338,0.9,1,41.25
755,3.03,1,75
234,1.22,1,37.5
1126,6.21,1,116.25
520,2.86,1,60
985,4.51,1,93.75
497,2.64,1,60
1978,7.61,1,172.5
889,5.49,1,101.25
759,5.89,1,101.25
889,5.47,1,105
218,1.64,1,37.5
3053,12.41,1,247.5
1067,3.69,1,93.75
630,3.7,1,75
126,1.05,1,30
659,3.64,1,71.25
150,0.89,5,30
638,2.99,1,71.25
496,2.8,1,60
1044,4.8,2,101.25
1068,3.06,1,97.5
1231,6.89,1,123.75
1225,5.84,1,123.75
516,1.93,1,52.5
21,0.16,1,18.75
640,6.12,1,105
352,1.13,1,41.25
601,2.69,2,67.5
1154,4.99,2,112.5
606,2.49,2,63.75
576,2.45,1,63.75
2837,19.75,2,318.75
887,3.64,1,86.25
964,4.25,1,93.75
541,1.61,1,56.25
1771,9.37,5,180
1099,9.21,1,142.5
324,1.4,1,41.25
1272,3.96,1,108.75
464,1.66,1,48.75
1099,5.05,2,105
402,2.41,1,52.5
2185,29.13,1,386.25
